==================== 2026-05-28T14:13:59.038624Z | 64501e68-6d92-4440-8eba-27720e2acb0e ====================
14:13:59.038732 [info ]: Starting dbt LSP server
14:13:59.038765 [info ]: Connecting to LSP client on port 8000
14:13:59.046975 [info ]: Successfully connected to LSP client
14:13:59.047012 [info ]: Creating LSP service...
14:13:59.191136 [info ]: Creating LSP server...
14:13:59.191169 [info ]: Starting LSP server...
14:13:59.238606 [info ]: Loading ~/.dbt/profiles.yml
14:13:59.243295 [info ]: Loading ~/.dbt/profiles.yml
14:20:38.341384 [info ]: Loading ~/.dbt/profiles.yml
14:49:06.574466 [info ]: Loading ~/.dbt/profiles.yml
14:49:07.076967 [info ]: Loading ~/.dbt/profiles.yml
14:49:07.592566 [info ]: Loading ~/.dbt/profiles.yml
14:49:08.089905 [info ]: Loading ~/.dbt/profiles.yml
14:49:08.542747 [info ]: Loading ~/.dbt/profiles.yml
14:49:09.072452 [info ]: Loading ~/.dbt/profiles.yml
14:49:09.550022 [info ]: Loading ~/.dbt/profiles.yml
14:49:10.067317 [info ]: Loading ~/.dbt/profiles.yml
14:49:10.559169 [info ]: Loading ~/.dbt/profiles.yml
14:49:11.055993 [info ]: Loading ~/.dbt/profiles.yml
14:49:11.580023 [info ]: Loading ~/.dbt/profiles.yml
14:49:12.059739 [info ]: Loading ~/.dbt/profiles.yml
14:49:12.557615 [info ]: Loading ~/.dbt/profiles.yml
14:49:13.060058 [info ]: Loading ~/.dbt/profiles.yml
14:49:13.554041 [info ]: Loading ~/.dbt/profiles.yml
14:49:14.062704 [info ]: Loading ~/.dbt/profiles.yml
14:49:14.559202 [info ]: Loading ~/.dbt/profiles.yml
14:49:15.054883 [info ]: Loading ~/.dbt/profiles.yml
14:49:15.573489 [info ]: Loading ~/.dbt/profiles.yml
14:49:16.068757 [info ]: Loading ~/.dbt/profiles.yml
14:49:16.567221 [info ]: Loading ~/.dbt/profiles.yml
14:49:17.077454 [info ]: Loading ~/.dbt/profiles.yml
14:49:17.581698 [info ]: Loading ~/.dbt/profiles.yml
14:49:18.064599 [info ]: Loading ~/.dbt/profiles.yml
14:49:18.582507 [info ]: Loading ~/.dbt/profiles.yml
14:49:19.039581 [info ]: Loading ~/.dbt/profiles.yml
14:49:28.801577 [info ]: Loading ~/.dbt/profiles.yml
14:49:34.487258 [info ]: Loading ~/.dbt/profiles.yml
14:49:35.029121 [info ]: Loading ~/.dbt/profiles.yml
14:49:35.526982 [info ]: Loading ~/.dbt/profiles.yml
14:49:36.116284 [info ]: Loading ~/.dbt/profiles.yml
14:49:36.512925 [info ]: Loading ~/.dbt/profiles.yml
14:49:37.001391 [info ]: Loading ~/.dbt/profiles.yml
14:49:37.512467 [info ]: Loading ~/.dbt/profiles.yml
14:49:37.856076 [info ]: Loading ~/.dbt/profiles.yml
14:49:38.369148 [info ]: Loading ~/.dbt/profiles.yml
14:49:38.883948 [info ]: Loading ~/.dbt/profiles.yml
14:49:39.900708 [info ]: Loading ~/.dbt/profiles.yml
14:49:40.406340 [info ]: Loading ~/.dbt/profiles.yml
14:50:05.030758 [info ]: Loading ~/.dbt/profiles.yml
14:50:05.510766 [info ]: Loading ~/.dbt/profiles.yml
14:50:05.987705 [info ]: Loading ~/.dbt/profiles.yml
14:50:06.498247 [info ]: Loading ~/.dbt/profiles.yml
14:50:07.117504 [info ]: Loading ~/.dbt/profiles.yml
14:50:07.633070 [info ]: Loading ~/.dbt/profiles.yml
14:50:08.130808 [info ]: Loading ~/.dbt/profiles.yml
14:50:09.139149 [info ]: Loading ~/.dbt/profiles.yml
14:50:09.775498 [info ]: Loading ~/.dbt/profiles.yml
14:50:32.728173 [info ]: Loading ~/.dbt/profiles.yml
14:50:33.298904 [info ]: Loading ~/.dbt/profiles.yml
14:50:33.777759 [info ]: Loading ~/.dbt/profiles.yml
14:50:34.269562 [info ]: Loading ~/.dbt/profiles.yml
14:50:34.948742 [info ]: Loading ~/.dbt/profiles.yml
14:50:35.444009 [info ]: Loading ~/.dbt/profiles.yml
14:50:35.973727 [info ]: Loading ~/.dbt/profiles.yml
14:50:36.489516 [info ]: Loading ~/.dbt/profiles.yml
14:50:36.958979 [info ]: Loading ~/.dbt/profiles.yml
14:50:37.453392 [info ]: Loading ~/.dbt/profiles.yml
14:50:37.962658 [info ]: Loading ~/.dbt/profiles.yml
14:50:38.449296 [info ]: Loading ~/.dbt/profiles.yml
14:50:38.915149 [info ]: Loading ~/.dbt/profiles.yml
14:50:39.534623 [info ]: Loading ~/.dbt/profiles.yml
14:50:40.045908 [info ]: Loading ~/.dbt/profiles.yml
14:50:40.559623 [info ]: Loading ~/.dbt/profiles.yml
14:50:41.057893 [info ]: Loading ~/.dbt/profiles.yml
14:50:41.562760 [info ]: Loading ~/.dbt/profiles.yml
14:50:42.245808 [info ]: Loading ~/.dbt/profiles.yml
14:50:42.765670 [info ]: Loading ~/.dbt/profiles.yml
14:50:43.245599 [info ]: Loading ~/.dbt/profiles.yml
14:50:43.758953 [info ]: Loading ~/.dbt/profiles.yml
14:50:44.272704 [info ]: Loading ~/.dbt/profiles.yml
14:50:44.807491 [info ]: Loading ~/.dbt/profiles.yml
14:50:45.289016 [info ]: Loading ~/.dbt/profiles.yml
14:50:45.782957 [info ]: Loading ~/.dbt/profiles.yml
14:50:46.275548 [info ]: Loading ~/.dbt/profiles.yml
14:50:46.772343 [info ]: Loading ~/.dbt/profiles.yml
14:50:47.287082 [info ]: Loading ~/.dbt/profiles.yml
14:50:47.784251 [info ]: Loading ~/.dbt/profiles.yml
14:50:48.282524 [info ]: Loading ~/.dbt/profiles.yml
14:50:48.786500 [info ]: Loading ~/.dbt/profiles.yml
14:50:49.299573 [info ]: Loading ~/.dbt/profiles.yml
14:50:49.824398 [info ]: Loading ~/.dbt/profiles.yml
14:50:50.323726 [info ]: Loading ~/.dbt/profiles.yml
14:50:50.835365 [info ]: Loading ~/.dbt/profiles.yml
14:50:51.349513 [info ]: Loading ~/.dbt/profiles.yml
14:50:51.858882 [info ]: Loading ~/.dbt/profiles.yml
14:50:52.335851 [info ]: Loading ~/.dbt/profiles.yml
14:50:52.844973 [info ]: Loading ~/.dbt/profiles.yml
14:50:53.369290 [info ]: Loading ~/.dbt/profiles.yml
14:50:56.019089 [info ]: Loading ~/.dbt/profiles.yml
14:50:56.756803 [info ]: Loading ~/.dbt/profiles.yml
14:50:57.295048 [info ]: Loading ~/.dbt/profiles.yml
14:50:57.773481 [info ]: Loading ~/.dbt/profiles.yml
14:50:58.299090 [info ]: Loading ~/.dbt/profiles.yml
14:50:58.783383 [info ]: Loading ~/.dbt/profiles.yml
14:50:59.279933 [info ]: Loading ~/.dbt/profiles.yml
14:50:59.796114 [info ]: Loading ~/.dbt/profiles.yml
14:51:00.307313 [info ]: Loading ~/.dbt/profiles.yml
14:51:00.775918 [info ]: Loading ~/.dbt/profiles.yml
14:51:01.304389 [info ]: Loading ~/.dbt/profiles.yml
14:51:01.788056 [info ]: Loading ~/.dbt/profiles.yml
14:51:02.277947 [info ]: Loading ~/.dbt/profiles.yml
14:51:02.790622 [info ]: Loading ~/.dbt/profiles.yml
14:51:03.285531 [info ]: Loading ~/.dbt/profiles.yml
14:51:03.811813 [info ]: Loading ~/.dbt/profiles.yml
14:51:04.308805 [info ]: Loading ~/.dbt/profiles.yml
14:51:04.810317 [info ]: Loading ~/.dbt/profiles.yml
14:51:05.419065 [info ]: Loading ~/.dbt/profiles.yml
14:51:05.935511 [info ]: Loading ~/.dbt/profiles.yml
14:51:06.432858 [info ]: Loading ~/.dbt/profiles.yml
14:51:06.919537 [info ]: Loading ~/.dbt/profiles.yml
14:51:07.374263 [info ]: Loading ~/.dbt/profiles.yml
14:51:07.870539 [info ]: Loading ~/.dbt/profiles.yml
14:51:08.364043 [info ]: Loading ~/.dbt/profiles.yml
14:51:08.874962 [info ]: Loading ~/.dbt/profiles.yml
14:51:09.385341 [info ]: Loading ~/.dbt/profiles.yml
14:51:09.883554 [info ]: Loading ~/.dbt/profiles.yml
14:51:10.416278 [info ]: Loading ~/.dbt/profiles.yml
14:51:10.895236 [info ]: Loading ~/.dbt/profiles.yml
14:51:11.390776 [info ]: Loading ~/.dbt/profiles.yml
14:51:11.903470 [info ]: Loading ~/.dbt/profiles.yml
